,name,0,industry
161,index international inc.,index international inc.,index international inc.
162,stellaralgo,others,others
163,dagaev professional corporation,others,others
164,exeliq consulting inc.,others,others
165,xforia,information technology and services,information technology and services
166,sbx technologies,Construction,construction
167,ctconsultants,others,others
168,mercedes-benz canada inc.,Transportation Equipment Manufacturing,transportation equipment manufacturing
169,battle river medical clinic,Healthcare,healthcare
170,manitoba liquor & lotteries,Government & Public Administration,government & public administration
171,hsb bi&i,others,others
172,designtest & balance co. ltd.,others,others
174,datapattern,information technology and services,information technology and services
175,orohealth,information technology and services,information technology and services
176,dapper labs,others,others
177,excellent accounting & tax services ltd.,others,others
178,montreal heart institute research center (mhi-rc),others,others
179,bimbo canada,Grocery Stores,grocery stores
180,national defence,Government & Public Administration,government & public administration
181,"alberta gaming, liquor and cannabis",Government & Public Administration,government & public administration
182,ecofish research,others,others
184,software international,computer software,computer software
185,manitoba government,Government & Public Administration,government & public administration
186,malatest,information technology and services,information technology and services
187,journey education,others,others
188,brain finance,others,others
189,varicent,others,others
190,motion metrics international corp.,others,others
191,bcmea,Transportation & Logistics,transportation & logistics
192,"stefanini, inc",information technology and services,information technology and services
193,d4 logistics inc.,Shipping & Trucking,shipping & trucking
194,altasciences,Pharmaceutical & Biotechnology,pharmaceutical & biotechnology
195,city of calgary,Government & Public Administration,government & public administration
196,moonshot brands,others,others
197,the boiler inspection and insurance company of canada,Insurance,insurance
199,trader corporation,trader corporation,trader corporation
200,deer lodge centre,Healthcare,healthcare
201,tmx group limited,financial services,financial services
202,maxa ai,others,others
204,argus machine co ltd,"Energy, Mining, Utilities","energy, mining, utilities"
205,canada life assurance company,Insurance,insurance
206,ontario health,Healthcare,healthcare
207,numerator,information technology and services,information technology and services
209,fmi logistics,Transportation & Logistics,transportation & logistics
210,scarsin,computer software,computer software
211,acuityads,Media & Communication,media & communication
212,lockheed martin corporation,Aerospace & Defence,aerospace & defence
213,neo financial,financial services,financial services
214,bc teacher's federation,Government & Public Administration,government & public administration
215,traffic tech inc.,traffic tech inc.,traffic tech inc.
216,freshpoint vancouver,Retail,retail
217,dynasty power inc.,investment management,investment management
218,life saving society,others,others
219,motusbank,others,others
220,mindgeek careers,information technology and services,information technology and services
221,ts imagine,others,others
222,pollard banknote ltd,Manufacturing,manufacturing
223,aci argyle communications inc.,others,others
224,nr consulting llc,Business Consulting,business consulting
225,smilylogistics,others,others
226,south essex fabricating inc.,Manufacturing,manufacturing
227,myant,information technology and services,information technology and services
228,gm blueplan engineering,construction,construction
229,biotrial inc.,Healthcare,healthcare
230,emmes,Business Consulting,business consulting
231,"amzn can fulfillment svcs, ulc",Others,others
232,"can asa-jones lang lasalle real estate services, inc.",Others,others
233,abcellera biologics,Pharmaceutical & Biotechnology,pharmaceutical & biotechnology
234,aimco (alberta investment management corporation),financial services,financial services
235,rosenau transport ltd,Transportation & Logistics,transportation & logistics
236,kinsol research,Others,others
237,regional district of central okanagan,Government & Public Administration,government & public administration
238,the empire life ins. co,Others,others
239,a4 systems,computer software,computer software
240,pioneer thinking consulting corporation,Others,others
241,o&b transport inc,Others,others
242,hardt equipment manufacturing inc.,Manufacturing,manufacturing
243,bell media inc.,Media & Communication,media & communication
244,volaris group inc.,Others,others
245,klick health,Healthcare,healthcare
246,realty fans,Internet & Web Services,internet & web services
247,xerris,Others,others
249,ignite technical resources.,information technology and services,information technology and services
250,hkj marketing,Media & Communication,media & communication
251,"cytel, canada health inc",Healthcare,healthcare
252,nielseniq,Business Consulting,business consulting
253,rps real property solutions inc,Others,others
254,geologic systems limited,"Energy, Mining, Utilities","energy, mining, utilities"
255,ocas application services inc.,Others,others
256,association pour la santé environnementale du québec - environmental health association of québec,civic & social organization,civic & social organization
257,alimentiv,Healthcare,healthcare
258,healthhub solutions,Others,others
